h_str,a_str,hth,h_poise,a_poise,result
76.9,73.0,1.4,0.0,0.0,WIN
81.5,76.8,1.4,1.2,0.0,DRAW
77.9,75.3,0.8,1.0,1.0,LOSE
83.1,75.5,1.4,0.2,1.0,WIN
73.9,73.0,1.6,1.2,3.0,LOSE
75.0,73.9,1.0,1.4,0.0,LOSE
76.7,78.1,0.2,1.8,3.0,LOSE
75.4,77.6,2.2,1.0,0.0,WIN
72.9,82.5,0.8,1.6,0.0,DRAW
77.3,75.0,2.0,1.4,3.0,LOSE
73.0,75.7,1.2,1.4,1.0,WIN
75.0,78.9,1.4,2.0,0.0,LOSE
73.9,74.7,2.2,0.0,3.0,WIN
78.2,78.6,0.8,1.2,0.0,LOSE
76.6,73.9,0.0,2.0,0.0,LOSE
81.1,76.5,1.4,1.4,0.0,DRAW
74.8,75.6,1.0,0.8,3.0,LOSE
75.9,73.1,2.2,0.0,3.0,LOSE
74.8,74.9,1.4,0.2,3.0,WIN
76.4,78.4,2.0,1.8,1.0,WIN
75.0,75.6,1.4,1.0,0.0,DRAW
82.4,77.7,1.4,1.0,1.0,LOSE
78.9,73.2,2.0,1.8,3.0,WIN
75.2,76.8,0.8,2.6,0.0,LOSE
78.6,74.2,1.4,0.6,3.0,WIN
71.9,82.0,1.8,1.6,0.0,LOSE
73.1,76.1,0.4,0.0,0.0,WIN
74.7,77.0,1.4,1.4,3.0,DRAW
75.8,75.4,1.6,1.0,0.0,DRAW
76.9,75.7,2.6,0.4,3.0,DRAW
79.4,78.5,1.6,2.4,1.0,DRAW
73.9,75.1,2.6,2.0,1.0,WIN
77.7,79.1,2.4,2.2,3.0,WIN
76.5,78.6,2.2,1.6,3.0,DRAW
74.4,79.3,1.0,1.6,1.0,DRAW
76.9,75.5,2.0,0.0,1.0,WIN
77.2,78.2,2.0,2.6,1.0,WIN
73.2,72.5,0.6,1.6,3.0,LOSE
75.7,73.1,0.0,0.6,3.0,WIN
81.4,75.1,1.2,1.0,3.0,WIN
75.8,73.9,1.2,2.0,0.0,LOSE
79.4,77.7,2.6,1.4,0.0,WIN
79.6,75.3,1.2,1.4,3.0,WIN
75.9,78.5,0.6,1.6,1.0,DRAW
73.0,75.8,1.0,0.6,3.0,LOSE
79.4,74.8,2.4,0.2,3.0,WIN
76.0,76.9,0.6,1.4,3.0,DRAW
74.5,77.2,1.6,1.0,0.0,WIN
75.3,73.8,1.6,0.6,1.0,LOSE
80.5,82.7,1.4,1.6,0.0,LOSE
73.9,76.8,2.6,1.0,3.0,DRAW
72.2,74.8,1.2,1.8,0.0,LOSE
79.3,75.8,1.4,0.6,3.0,DRAW
77.3,79.4,1.4,2.0,1.0,LOSE
73.9,82.1,2.0,2.0,0.0,DRAW
76.7,74.2,2.2,1.2,0.0,WIN
78.0,75.7,3.0,0.8,1.0,WIN
79.4,77.9,1.6,1.6,1.0,WIN
80.2,75.0,1.6,1.0,0.0,WIN
81.5,76.3,1.2,1.4,0.0,WIN
75.4,75.5,0.0,1.4,1.0,LOSE
71.0,82.4,1.2,2.0,3.0,LOSE
77.2,73.9,2.2,0.0,0.0,DRAW
75.8,80.2,1.0,1.6,0.0,DRAW
73.5,77.1,2.2,0.8,3.0,WIN
79.4,75.0,2.6,1.0,1.0,DRAW
75.2,75.8,1.4,1.2,0.0,DRAW
74.5,76.0,1.6,0.6,0.0,WIN
76.7,72.5,0.8,2.0,1.0,WIN
73.3,72.5,0.6,0.0,3.0,WIN
75.5,76.7,1.4,1.2,1.0,LOSE
80.2,73.0,2.0,0.6,1.0,WIN
76.7,75.5,2.0,1.8,0.0,WIN
77.3,73.5,3.0,2.4,1.0,DRAW
76.8,80.2,2.0,1.6,0.0,WIN
82.5,79.7,1.2,2.0,1.0,DRAW
73.0,80.4,1.0,0.8,3.0,LOSE
75.5,75.2,0.8,1.4,3.0,WIN
76.3,73.8,2.2,0.8,1.0,LOSE
73.0,74.5,0.0,0.2,1.0,DRAW
72.5,75.5,1.2,0.6,3.0,DRAW
75.8,83.4,1.2,2.4,0.0,WIN
73.4,76.6,2.2,1.0,3.0,WIN
79.3,76.8,2.2,1.4,3.0,LOSE
77.8,73.7,2.2,1.2,0.0,WIN
80.7,78.9,1.8,1.2,0.0,DRAW
76.2,79.2,1.6,1.2,1.0,WIN
74.0,73.7,0.8,0.6,0.0,WIN
75.8,77.2,1.2,0.4,0.0,WIN
79.4,81.6,2.2,1.8,3.0,DRAW
81.9,71.2,2.0,0.0,3.0,WIN
82.3,72.8,1.2,2.0,0.0,DRAW
78.5,73.5,0.8,0.6,1.0,WIN
75.5,79.2,1.6,1.6,3.0,WIN
76.4,74.9,2.0,0.6,0.0,WIN
76.5,75.5,1.0,1.8,1.0,WIN
74.8,80.7,2.4,1.6,0.0,DRAW
73.0,71.2,1.0,1.2,3.0,DRAW
75.5,73.5,1.2,1.8,1.0,DRAW
75.7,72.0,2.6,1.4,0.0,WIN
73.5,76.9,0.0,2.2,0,WIN
74.8,76.4,1.4,0.6,1.5,LOSE
78.4,81.9,1.4,1.6,1.0,DRAW
73.4,76.5,0.0,0.8,0,LOSE
76.2,78.5,0.0,0.8,0,DRAW
75.5,76.1,2.6,0.6,2.0,DRAW
82.5,73.0,2.0,1.4,3.0,WIN
73.4,82.8,0.8,1.2,1.5,LOSE
79.2,80.6,2.6,1.4,1.0,LOSE
83.7,77.7,0.8,1.6,0.5,WIN
83.3,76.3,2.6,2.0,1.5,WIN
78.1,82.6,1.0,1.6,1.5,LOSE
74.1,81.1,0.0,1.4,0,WIN
76.9,73.5,2.6,0.0,0,LOSE
81.0,74.7,1.6,0.4,3.0,WIN
76.1,83.5,1.0,1.4,1.0,LOSE
76.4,78.4,0.8,0.4,1.5,LOSE
78.1,81.5,2.6,1.4,0.0,DRAW
72.6,74.8,1.6,0.0,0,LOSE
77.1,73.5,1.6,1.2,1.5,WIN
81.2,81.3,2.0,1.4,1.0,DRAW
76.6,82.2,1.0,1.4,0.0,LOSE
77.7,76.9,2.2,1.4,3.0,WIN
76.4,75.0,2.6,1.2,2.0,DRAW
83.7,74.1,1.2,0.0,0,WIN
76.6,73.5,1.4,0.6,0.5,DRAW
79.2,77.4,1.6,0.8,1.5,WIN
73.5,83.3,3.0,1.8,0,LOSE
74.4,74.9,0.2,3.0,0,DRAW
83.0,76.7,2.0,1.0,0.5,WIN
82.9,82.3,2.6,1.6,2.0,LOSE
75.5,76.4,1.0,0.2,0,LOSE
78.1,81.4,1.0,1.2,0.5,LOSE
82.8,77.5,2.0,1.4,0.5,WIN
73.4,74.4,0.2,1.0,2.0,WIN
74.1,73.5,1.5,3.0,0,DRAW
78.1,76.7,2.0,0.8,1.5,LOSE
81.1,77.7,2.2,1.6,1.5,WIN
77.1,83.7,2.0,1.4,2.0,DRAW
74.5,80.7,1.4,0.8,1.5,LOSE
83.7,81.5,1.6,1.0,0.5,LOSE
73.5,82.8,1.5,1.4,0,LOSE
78.2,74.0,2.2,0.0,0,WIN
82.3,73.9,2.6,0.8,3.0,WIN
75.6,78.5,0.4,0.8,0.5,WIN
80.7,76.1,2.2,2.0,0,WIN
76.7,82.8,1.0,1.8,0.0,WIN
76.5,78.4,1.6,0.2,3.0,WIN
77.5,77.1,2.2,1.2,3.0,WIN
81.4,75.9,1.6,1.2,3.0,WIN
77.3,83.6,1.6,1.6,0.5,LOSE
82.9,78.2,2.0,1.0,1.0,WIN
76.5,81.1,0.5,1.6,0,LOSE
77.7,76.5,0.8,1.0,0.0,DRAW
76.0,76.2,1.4,0.6,2.0,LOSE
81.4,74.5,2.2,2.0,0,WIN
74.2,79.7,0.8,1.2,0.5,WIN
82.8,84.0,2.4,1.6,0.0,WIN
79.3,77.4,1.8,1.4,1.5,LOSE
73.8,77.0,1.3333333333333333,0.8,0,WIN
79.4,76.1,2.6,1.2,1.0,DRAW
77.3,81.6,1.0,1.6,1.5,LOSE
74.9,76.5,1.2,1.2,0.5,DRAW
74.5,83.0,1.0,1.0,0,LOSE
77.5,74.2,1.4,0.2,1.0,DRAW
78.2,75.2,1.2,1.3333333333333333,0,DRAW
82.9,77.7,2.0,0.2,1.5,DRAW
78.3,77.4,2.6,1.8,2.0,DRAW
81.5,82.4,1.6,2.0,3.0,WIN
73.8,83.1,1.75,1.8,0,LOSE
82.8,76.6,1.6,0.4,0.5,WIN
83.1,77.1,2.4,1.2,1.5,WIN
74.2,73.6,1.4,1.3333333333333333,0,WIN
82.3,79.1,2.6,1.2,2.0,DRAW
77.4,74.9,1.0,0.6,0.5,WIN
76.5,81.5,1.0,1.6,1.0,DRAW
76.1,78.8,1.6,0.6,0.5,LOSE
76.3,77.1,0.3333333333333333,0.8,0,LOSE
76.7,73.8,2.2,0.0,0,WIN
81.8,82.5,2.2,1.8,0.0,DRAW
74.2,81.0,2.0,1.6,0.0,DRAW
78.3,75.2,1.4,0.4,2.0,WIN
75.8,76.9,0.4,1.4,1.5,DRAW
77.7,76.4,2.2,1.4,3.0,WIN
73.9,77.4,0.75,0.4,0,LOSE
73.1,79.7,1.4,1.4,0,WIN
82.0,76.6,2.4,1.25,0,DRAW
81.6,76.2,2.2,1.2,1.0,WIN
83.5,76.3,2.2,1.4,1.5,DRAW
82.8,82.4,2.0,1.4,1.0,WIN
75.1,81.6,0.8,2.2,0.5,LOSE
80.7,77.5,2.0,0.2,0.5,DRAW
77.4,73.9,1.0,1.0,0,WIN
75.6,82.9,1.2,2.0,0.0,LOSE
76.5,74.5,0.25,0.4,0,WIN
82.3,73.5,2.0,0.0,0,DRAW
76.4,81.4,1.4,2.0,1.5,LOSE
79.2,78.0,2.2,0.6,0.5,WIN
77.7,82.8,2.2,1.6,1.5,LOSE
77.3,76.2,1.4,1.2,2.0,WIN
73.6,74.5,2.0,0.2,2.0,LOSE
74.0,76.8,2.0,1.4,0,WIN
83.1,76.4,2.2,1.2,0,DRAW
78.5,75.6,1.4,1.0,0.5,DRAW
82.8,79.3,2.4,1.4,0.5,WIN
82.6,81.2,2.0,1.8,1.0,DRAW
81.5,77.4,2.2,1.6,1.5,WIN
73.9,77.8,0.6,1.0,0,WIN
76.4,82.5,0.4,1.4,1.5,LOSE
77.6,75.7,2.2,1.0,2.0,LOSE
81.8,82.4,1.6,2.6,1.5,DRAW
77.5,81.5,1.6,2.0,2.0,DRAW
77.6,73.9,1.4,0.4,3.0,LOSE
74.4,73.8,0.2,0.8,0,WIN
77.2,77.6,1.4,0.2,0.0,WIN
80.5,76.1,2.2,0.6,0.5,DRAW
76.1,83.8,0.8,2.4,0.0,LOSE
80.1,78.3,2.2,0.6,1.5,WIN
76.8,82.8,0.8,2.0,0,LOSE
75.7,73.9,1.0,0.25,0,WIN
73.1,82.5,2.0,2.4,0,LOSE
73.8,75.7,0.6,1.0,0,DRAW
76.1,75.8,0.4,1.4,1.0,WIN
81.5,74.5,2.6,0.8,2.0,WIN
77.5,76.8,2.0,0.8,0,DRAW
82.8,81.2,2.4,1.8,1.0,WIN
77.4,76.8,2.0,1.0,1.5,LOSE
82.7,72.2,2.2,1.0,3.0,WIN
75.8,80.5,1.6,0.8,0.5,WIN
82.2,77.7,1.2,0.6,0.5,DRAW
74.7,78.1,0.8,0.2,0.0,WIN
83.2,83.0,1.8,2.0,3.0,LOSE
75.8,77.4,0.8,1.0,1.5,WIN
76.8,72.4,1.4,0.2,0,WIN
